MediaCloud ID,Name,Relevant Stories,Total Stories,Attention (%)
269138,The Intercept,37,236,15.677966101694915
69881,Defense One,34,277,12.274368231046932
1110,The Atlantic,47,612,7.6797385620915035
104828,Vox,27,362,7.458563535911603
25888,The Express Tribune (Pakistan),2,27,7.4074074074074066
18268,Politico,138,2024,6.8181818181818175
1707,The Daily Beast,99,1558,6.354300385109115
3,Christian Science Monitor,32,524,6.106870229007633
4425,Slate,49,849,5.771495877502945
101,The Washington Times,205,3645,5.6241426611796985
56510,Newsweek,398,7304,5.449069003285871
1154,Associated Press,104,2150,4.837209302325581
271188,PBS NewsHour,66,1378,4.78955007256894
1092,Fox News,418,8766,4.7684234542550765
1148,Al Jazeera English,108,2272,4.753521126760563
1096,NPR,139,3568,3.8957399103139014
113,Talking Points Memo,19,518,3.667953667953668
1,New York Times,344,9713,3.541645217749408
1095,CNN Wire,224,6371,3.515931564903469
24661,News One,15,441,3.4013605442176873
4,USA Today,222,7258,3.0586938550564895
19854,Roll Call,13,428,3.0373831775700935
6,LA Times,117,4037,2.898191726529601
26164,Vice,48,1660,2.891566265060241
15,The Boston Globe,71,2696,2.6335311572700295
158115,The Arizona Republic,208,7974,2.6084775520441434
27502,HuffPost,73,2821,2.587734845799362
4442,Reuters News,17,657,2.5875190258751903
107733,Middle East Eye,2,90,2.2222222222222223
109076,Mic,9,414,2.1739130434782608
39177,Defense News,9,415,2.1686746987951806
97329,Middle East Monitor,29,1372,2.1137026239067054
102745,Al Monitor,13,666,1.951951951951952
1150,The Wall Street Journal,95,5836,1.6278272789581907
2,The Washington Post,134,9642,1.3897531632441402
9,Chicago Tribune,58,4750,1.2210526315789474
10,Houston Chronicle,23,1934,1.189245087900724
28,The Miami Herald,3,283,1.0600706713780919
18364,The Hill,21,2910,0.7216494845360825
368082,The Root,5,780,0.641025641025641
98755,Bustle,12,2243,0.5349977708426215
6218,Buzzfeed,17,5263,0.3230096902907087
