MediaCloud ID,Name,Relevant Stories,9/11 Stories,Attention (%)
269138,The Intercept,24,37,64.86486486486487
69881,Defense One,19,34,55.88235294117647
1110,The Atlantic,22,47,46.808510638297875
97329,Middle East Monitor,13,29,44.827586206896555
18268,Politico,61,138,44.20289855072464
1148,Al Jazeera English,38,108,35.18518518518518
1707,The Daily Beast,32,99,32.323232323232325
3,Christian Science Monitor,10,32,31.25
104828,Vox,8,27,29.629629629629626
4425,Slate,12,49,24.489795918367346
1150,The Wall Street Journal,23,95,24.210526315789473
1,New York Times,80,344,23.25581395348837
101,The Washington Times,44,205,21.463414634146343
1096,NPR,29,139,20.863309352517987
1095,CNN Wire,44,224,19.642857142857142
1092,Fox News,81,418,19.37799043062201
6,LA Times,22,117,18.803418803418804
1154,Associated Press,16,104,15.384615384615385
56510,Newsweek,61,398,15.326633165829145
271188,PBS NewsHour,10,66,15.151515151515152
27502,HuffPost,11,73,15.068493150684931
26164,Vice,7,48,14.583333333333334
4,USA Today,32,222,14.414414414414415
10,Houston Chronicle,3,23,13.043478260869565
158115,The Arizona Republic,21,208,10.096153846153847
15,The Boston Globe,6,71,8.450704225352112
2,The Washington Post,7,134,5.223880597014925
18364,The Hill,0,21,0.0
9,Chicago Tribune,0,58,0.0
