MediaCloud ID,Name,Relevant Stories,9/11 Stories,Attention (%)
104828,Vox,6,27,22.22222222222222
1110,The Atlantic,7,47,14.893617021276595
1150,The Wall Street Journal,14,95,14.736842105263156
4425,Slate,7,49,14.285714285714285
3,Christian Science Monitor,4,32,12.5
69881,Defense One,4,34,11.76470588235294
101,The Washington Times,23,205,11.219512195121952
18268,Politico,11,138,7.971014492753622
1,New York Times,27,344,7.848837209302325
1154,Associated Press,8,104,7.6923076923076925
1148,Al Jazeera English,8,108,7.4074074074074066
1096,NPR,10,139,7.194244604316546
97329,Middle East Monitor,2,29,6.896551724137931
6,LA Times,8,117,6.837606837606838
1095,CNN Wire,14,224,6.25
1092,Fox News,26,418,6.220095693779904
1707,The Daily Beast,6,99,6.0606060606060606
56510,Newsweek,23,398,5.778894472361809
271188,PBS NewsHour,3,66,4.545454545454546
2,The Washington Post,4,134,2.9850746268656714
27502,HuffPost,2,73,2.73972602739726
269138,The Intercept,1,37,2.7027027027027026
26164,Vice,1,48,2.083333333333333
15,The Boston Globe,1,71,1.4084507042253522
4,USA Today,2,222,0.9009009009009009
18364,The Hill,0,21,0.0
158115,The Arizona Republic,0,208,0.0
10,Houston Chronicle,0,23,0.0
9,Chicago Tribune,0,58,0.0
