MediaCloud ID,Name,Relevant Stories,9/11 Stories,Attention (%)
3,Christian Science Monitor,19,32,59.375
269138,The Intercept,20,37,54.054054054054056
104828,Vox,12,27,44.44444444444444
97329,Middle East Monitor,12,29,41.37931034482759
1154,Associated Press,42,104,40.38461538461539
4425,Slate,18,49,36.734693877551024
1148,Al Jazeera English,38,108,35.18518518518518
69881,Defense One,11,34,32.35294117647059
101,The Washington Times,66,205,32.19512195121951
26164,Vice,14,48,29.166666666666668
27502,HuffPost,21,73,28.767123287671232
18268,Politico,39,138,28.26086956521739
6,LA Times,33,117,28.205128205128204
1110,The Atlantic,13,47,27.659574468085108
1,New York Times,94,344,27.325581395348834
271188,PBS NewsHour,17,66,25.757575757575758
1150,The Wall Street Journal,22,95,23.157894736842106
1096,NPR,32,139,23.021582733812952
56510,Newsweek,88,398,22.110552763819097
15,The Boston Globe,15,71,21.12676056338028
1095,CNN Wire,45,224,20.089285714285715
1707,The Daily Beast,18,99,18.181818181818183
1092,Fox News,73,418,17.464114832535884
4,USA Today,37,222,16.666666666666664
158115,The Arizona Republic,33,208,15.865384615384615
10,Houston Chronicle,2,23,8.695652173913043
2,The Washington Post,8,134,5.970149253731343
9,Chicago Tribune,1,58,1.7241379310344827
18364,The Hill,0,21,0.0
