MediaCloud ID,Name,Relevant Stories,9/11 Stories,Attention (%)
26164,Vice,4,48,8.333333333333332
1707,The Daily Beast,6,99,6.0606060606060606
1148,Al Jazeera English,6,108,5.555555555555555
101,The Washington Times,10,205,4.878048780487805
1110,The Atlantic,2,47,4.25531914893617
27502,HuffPost,3,73,4.10958904109589
1154,Associated Press,4,104,3.8461538461538463
1096,NPR,5,139,3.597122302158273
69881,Defense One,1,34,2.941176470588235
269138,The Intercept,1,37,2.7027027027027026
1095,CNN Wire,5,224,2.232142857142857
1,New York Times,7,344,2.0348837209302326
56510,Newsweek,7,398,1.7587939698492463
6,LA Times,2,117,1.7094017094017095
1092,Fox News,7,418,1.674641148325359
271188,PBS NewsHour,1,66,1.5151515151515151
15,The Boston Globe,1,71,1.4084507042253522
1150,The Wall Street Journal,1,95,1.0526315789473684
4,USA Today,2,222,0.9009009009009009
2,The Washington Post,1,134,0.7462686567164178
18268,Politico,1,138,0.7246376811594203
158115,The Arizona Republic,1,208,0.4807692307692308
104828,Vox,0,27,0.0
10,Houston Chronicle,0,23,0.0
18364,The Hill,0,21,0.0
3,Christian Science Monitor,0,32,0.0
9,Chicago Tribune,0,58,0.0
97329,Middle East Monitor,0,29,0.0
4425,Slate,0,49,0.0
