MediaCloud ID,Name,Relevant Stories,9/11 Stories,Attention (%)
269138,The Intercept,30,37,81.08108108108108
101,The Washington Times,144,205,70.24390243902438
3,Christian Science Monitor,21,32,65.625
104828,Vox,17,27,62.96296296296296
6,LA Times,73,117,62.39316239316239
1150,The Wall Street Journal,59,95,62.10526315789474
69881,Defense One,21,34,61.76470588235294
18268,Politico,84,138,60.86956521739131
1110,The Atlantic,26,47,55.319148936170215
1092,Fox News,229,418,54.78468899521531
4425,Slate,26,49,53.06122448979592
1154,Associated Press,54,104,51.92307692307693
97329,Middle East Monitor,15,29,51.724137931034484
1,New York Times,175,344,50.872093023255815
27502,HuffPost,37,73,50.68493150684932
1095,CNN Wire,112,224,50.0
1148,Al Jazeera English,52,108,48.148148148148145
1096,NPR,65,139,46.76258992805755
15,The Boston Globe,33,71,46.478873239436616
1707,The Daily Beast,46,99,46.464646464646464
56510,Newsweek,174,398,43.71859296482412
26164,Vice,19,48,39.58333333333333
10,Houston Chronicle,9,23,39.130434782608695
4,USA Today,81,222,36.486486486486484
9,Chicago Tribune,21,58,36.206896551724135
158115,The Arizona Republic,74,208,35.57692307692308
271188,PBS NewsHour,23,66,34.84848484848485
2,The Washington Post,25,134,18.65671641791045
18364,The Hill,1,21,4.761904761904762
