MediaCloud ID,Name,Relevant Stories,9/11 Stories,Attention (%)
101,The Washington Times,139,205,67.8048780487805
269138,The Intercept,25,37,67.56756756756756
104828,Vox,16,27,59.25925925925925
1150,The Wall Street Journal,55,95,57.89473684210527
18268,Politico,79,138,57.2463768115942
3,Christian Science Monitor,18,32,56.25
69881,Defense One,19,34,55.88235294117647
6,LA Times,65,117,55.55555555555556
1110,The Atlantic,25,47,53.191489361702125
1092,Fox News,219,418,52.39234449760766
4425,Slate,25,49,51.02040816326531
1,New York Times,163,344,47.383720930232556
1154,Associated Press,49,104,47.11538461538461
1095,CNN Wire,104,224,46.42857142857143
1096,NPR,59,139,42.44604316546763
1707,The Daily Beast,42,99,42.42424242424242
15,The Boston Globe,30,71,42.25352112676056
56510,Newsweek,160,398,40.20100502512563
27502,HuffPost,29,73,39.726027397260275
10,Houston Chronicle,9,23,39.130434782608695
1148,Al Jazeera English,42,108,38.88888888888889
97329,Middle East Monitor,11,29,37.93103448275862
9,Chicago Tribune,21,58,36.206896551724135
4,USA Today,79,222,35.585585585585584
158115,The Arizona Republic,72,208,34.61538461538461
271188,PBS NewsHour,19,66,28.78787878787879
26164,Vice,13,48,27.083333333333332
2,The Washington Post,22,134,16.417910447761194
18364,The Hill,1,21,4.761904761904762
