MediaCloud ID,Name,Relevant Stories,9/11 Stories,Attention (%)
269138,The Intercept,17,37,45.94594594594595
97329,Middle East Monitor,9,29,31.03448275862069
1707,The Daily Beast,20,99,20.2020202020202
104828,Vox,5,27,18.51851851851852
1148,Al Jazeera English,18,108,16.666666666666664
1110,The Atlantic,7,47,14.893617021276595
69881,Defense One,5,34,14.705882352941178
4425,Slate,6,49,12.244897959183673
1150,The Wall Street Journal,10,95,10.526315789473683
18268,Politico,12,138,8.695652173913043
27502,HuffPost,6,73,8.21917808219178
1096,NPR,11,139,7.913669064748201
6,LA Times,9,117,7.6923076923076925
1095,CNN Wire,15,224,6.696428571428571
56510,Newsweek,26,398,6.532663316582915
1,New York Times,22,344,6.395348837209303
3,Christian Science Monitor,2,32,6.25
26164,Vice,3,48,6.25
271188,PBS NewsHour,4,66,6.0606060606060606
1092,Fox News,24,418,5.741626794258373
101,The Washington Times,8,205,3.902439024390244
2,The Washington Post,5,134,3.731343283582089
15,The Boston Globe,2,71,2.8169014084507045
158115,The Arizona Republic,5,208,2.403846153846154
4,USA Today,5,222,2.2522522522522523
1154,Associated Press,2,104,1.9230769230769231
18364,The Hill,0,21,0.0
10,Houston Chronicle,0,23,0.0
9,Chicago Tribune,0,58,0.0
